HolderAddress,Balance
0x049e40b884e61d14bb4130f368fe19c525e40dad,220091109952765393982052537232
0x045e171492185926d9fe8a3ffb86455471c3abd7,495430721987413355818387200
0x04977a9c708237d2a906f66fe22b407acef8d97d,3309170492693074601829731939
0x048c37f7624d0f85638eeac0ff91e2c080b2206c,299426734233706372135459411298
0x04e58fc7a0ae255f66e5e7d0f8153cdc925ae29c,364315317948390816393451141
0x04bc202fc7345b21503dbbe659458d98b57fb997,1641547250148006147892296798
0x04ff8f9741bbfb9bb404e5a7fd6f9a97fecad861,913534689718044795136850437
0x04f14a0fa84ea40071fc8659e9f2a1af29bb2d33,320292145376848041913269991
0x05103c2e0451bc7fd5395406f281a266559beff5,6010025917654979993096901
0x04e5cbc14da4f7942dbdab64f03b4f4ebf2c3921,899148315766630516206295603
0x052e0be80fd0cecfaa9a4e812ea7a6c88eb2a610,314698002819740359276236371
0x04ff631dd56d08d157ec572515f5cdc7070829ae,367621683501056743115746617
0x052749b9e00dec9ba8758bccda8eb887a447fb2f,1380114854204827922091646622
0x04da7150b5ab0c86f06cc23fe454054b8403f572,276748319607829512702387354
0x057d825aa7b0b61d39ef7f88cdb86590d6544d29,7091280040793
0x058a6cae9d064ae7ffa3b3ae5eeb23959acb58a3,285619906209041822524705180
0x05427a8ab26f17c5d95014530512ff83d2f8b8ff,458270843966560475484215584
0x057ee22642403db37dfd44df0c3fc08f87301050,3003331879935153263151402579
0x053d069a8c50a9eef412616ef69f3d496bcdec2d,90477473427975903496231130
0x0552d579112dad9fcba354bcbc60728084b90d1a,106840710477596768446070157
0x057da5e05920272e522a50480b60547ed2314f82,310235812061161730702147623
0x0555976315ab1d67c6d5769895ed94ab20d10faf,17716851684890758538455908
0x056a0aa66272c6b53d3e240605657f45f349ab27,532713925782791324942440813
0x057b478a2eb28aa649c9b77431fdf18b80e7f356,1412844809721774754375649636
0x059a2757cfbbec42f35b6cd17d3e304bd10563d3,1209931949224694348842898052
0x05ffa5fce0c1e329d4e3c0aff8ff86b015fdec1e,13051284952100070007399900007
0x05cba4266ee6ba2a79b5ddac8a23c228fe99a8c7,2421285047716065961159650
0x05dec1e9bea4624e657b31a94fdc9007b61537c6,2013391826745202783929929252
0x05b06df614b71deb1fc67737c8481d35ca86ed3e,2617699973658584923824317182
0x05f167a4153e1060199aea5f2e9aa462e30ee50f,89914831576663045735962725
0x05fd2b14c7ceff9d8a3912a6eaa0eb42ed0d0b13,220091109952765393982052537232
0x05bb2281ed9fa4854ac9024eea1841278a9a452b,1800542030552402194903465021
0x061de05b7eaf9f9b4dc3c0947eae4585e1f7a9cd,72273286495638434187096067222
0x05a939bc35d9039c26294b1ec6edf8f9419960a9,21787108097869327029219260
0x0688c4e8ead46802359857d676963764a95b6355,595412263924024762462997472066
0x066d72ddce7cbd5b24f11f960503731aced1079d,120831882206804306279614166
